state1,state2,value,variance,ligand,standard_state
S0,S1,5.877279792240495,0.40583519249650096,H+,1
S0,S2,4.703151576083088,0.43366953791098356,H+,1
S0,S4,4.516896560355672,0.5096023114212074,H+,1
S0,S8,5.735211621840119,0.47119732144896037,H+,1
S1,S3,9.753397139330543,0.4248600174514859,H+,1
S1,S5,4.89995592624505,0.4958034238732283,H+,1
S1,S9,5.67313538244993,0.5375296592748956,H+,1
S2,S3,10.927525355487951,0.4242926840328721,H+,1
S2,S6,3.831741532312231,0.563409645208766,H+,1
S2,S10,4.142607153049428,0.5162331901669257,H+,1
S4,S5,6.26033915812987,0.5877541911156722,H+,1
S4,S6,4.017996548039645,0.5979887743127259,H+,1
S4,S12,4.251781920733095,0.4590799935432228,H+,1
S8,S9,5.815203552850306,0.5417424362339182,H+,1
S8,S10,3.110547107292398,0.47779931109104473,H+,1
S8,S12,3.033466859248652,0.49410762442412837,H+,1
S3,S7,6.558398686242485,0.07951728587929675,H+,1
S3,S11,4.292479208137894,0.5373615797002952,H+,1
S5,S7,11.411839899327976,0.43206294520407074,H+,1
S5,S13,5.483607650393018,0.529061278674144,H+,1
S6,S7,13.654182509418204,0.4972705347934147,H+,1
S6,S14,3.530042132576045,0.5221579768974187,H+,1
S9,S11,8.372740965018508,0.5612246173782721,H+,1
S9,S13,4.710428194188139,0.5128856367475368,H+,1
S10,S11,11.077397410576413,0.4655211046531382,H+,1
S10,S14,3.219176511838848,0.5420135755109787,H+,1
S12,S13,7.492164887789794,0.4411021299047639,H+,1
S12,S14,3.2962567598825943,0.4988243810174627,H+,1
S7,S15,-0.2335265996142962,0.42606880172997746,H+,1
S11,S15,2.0323928784902945,0.535242213790909,H+,1
S13,S15,5.694705649320662,0.4644696329403366,H+,1
S14,S15,9.89061377722786,0.49514445891297515,H+,1
S0Zn,S1Zn,0.09501170151312664,0.3642802679637704,H+,1
S0Zn,S2Zn,2.131066951660417,0.38460981272983924,H+,1
S0Zn,S4Zn,1.5432176645411408,0.4900026920403482,H+,1
S0Zn,S8Zn,3.013025540168922,0.45569968498038255,H+,1
S1Zn,S3Zn,5.914350632070917,0.44572229265432617,H+,1
S1Zn,S5Zn,6.73165981592025,0.48341075356718893,H+,1
S1Zn,S9Zn,7.257333765018364,0.4213895835242198,H+,1
S2Zn,S3Zn,3.878295381923627,0.44616173445873525,H+,1
S2Zn,S6Zn,5.448459735306114,0.4452419283076677,H+,1
S2Zn,S10Zn,4.691662967031796,0.41041215756036475,H+,1
S4Zn,S5Zn,5.283453852892239,0.533655371905578,H+,1
S4Zn,S6Zn,6.036309022425391,0.4756334114500212,H+,1
S4Zn,S12Zn,4.304721122169031,0.4990126788210118,H+,1
S8Zn,S9Zn,4.339319926362569,0.5061790094720113,H+,1
S8Zn,S10Zn,3.8097043785232927,0.4479760610696856,H+,1
S8Zn,S12Zn,2.83491324654125,0.4736061043960344,H+,1
S3Zn,S7Zn,6.875571453837016,0.4815049956485038,H+,1
S3Zn,S11Zn,4.644173207572084,0.4761221919473634,H+,1
S5Zn,S7Zn,6.058262269987681,0.5154009384419914,H+,1
S5Zn,S13Zn,3.4314505910684217,0.5870129960879812,H+,1
S6Zn,S7Zn,5.305407100454527,0.55561769116945,H+,1
S6Zn,S14Zn,0.8457782214358471,0.5447171242590026,H+,1
S9Zn,S11Zn,3.301190074624638,0.5176011192946502,H+,1
S9Zn,S13Zn,2.9057766419703115,0.5811408373254944,H+,1
S10Zn,S11Zn,3.830805622463913,0.5035010191343884,H+,1
S10Zn,S14Zn,1.6025749897101633,0.5390130159444289,H+,1
S12Zn,S13Zn,4.410183321791631,0.454827001024794,H+,1
S12Zn,S14Zn,2.5773661216922075,0.5239819206524731,H+,1
S7Zn,S15Zn,0.3842733228945634,0.5131217377319636,H+,1
S11Zn,S15Zn,2.6156715691594936,0.4564859894296368,H+,1
S13Zn,S15Zn,3.0110850018138207,0.5376591452674053,H+,1
S14Zn,S15Zn,4.843902201913243,0.5303575114495488,H+,1
S0,S0Zn,-21.327092452745337,0.6196336841784775,Zn,1
S1,S1Zn,-8.01292814334136,0.7414467070939122,Zn,1
S2,S2Zn,-15.404648738630517,0.8207740751144063,Zn,1
S3,S3Zn,0.8268031155855132,0.7848181922760058,Zn,1
S4,S4Zn,-14.479943755891806,0.8726896567759714,Zn,1
S5,S5Zn,-12.23058221448669,0.7745704159235987,Zn,1
S6,S6Zn,-19.127279972416346,0.8082816486948526,Zn,1
S7,S7Zn,0.09648582901868266,0.7817388959218705,Zn,1
S8,S8Zn,-15.059027360733374,0.7087901253383522,Zn,1
S9,S9Zn,-11.660679723388714,0.8380408948033248,Zn,1
S10,S10Zn,-16.668896471128033,0.7108806596013665,Zn,1
S11,S11Zn,0.01699775519288893,0.8807405117829661,Zn,1
S12,S12Zn,-14.601840771953203,0.7430203401283527,Zn,1
S13,S13Zn,-7.505315961203373,0.8600905226720572,Zn,1
S14,S14Zn,-12.946533904963037,0.7188871805697583,Zn,1
S15,S15Zn,-1.3260510630030942,0.9003808980392254,Zn,1
