state1,state2,value,variance,ligand,standard_state
S0,S1,10.603445028995658,0.5775269738716604,H+,1
S0,S2,8.241789520483952,1.103974002903618,H+,1
S0,S4,2.53158339085445,0.8214905188861842,H+,1
S1,S3,5.605187551788543,0.802730221517293,H+,1
S1,S5,-0.2862577862536662,0.9780222484866247,H+,1
S2,S3,7.966843060300252,0.6989008915712726,H+,1
S2,S6,0.3281833214942814,0.7417403006460559,H+,1
S4,S5,7.785603851887543,0.9566735597107708,H+,1
S4,S6,6.038389451123784,0.8865307166396214,H+,1
S3,S7,1.121207926928777,0.8006754760023818,H+,1
S5,S7,7.0126532649709885,0.8988659620734333,H+,1
S6,S7,8.759867665734745,0.8912881691361075,H+,1
S0Zn,S1Zn,5.307582465407381,0.6829406029020435,H+,1
S0Zn,S2Zn,5.176864114489564,1.1902047084042353,H+,1
S0Zn,S4Zn,0.15465938920348254,0.8390143972058438,H+,1
S1Zn,S3Zn,5.064607583740195,0.7418334038298602,H+,1
S1Zn,S5Zn,1.05665023818067,0.9421327648931919,H+,1
S2Zn,S3Zn,5.195325934658012,0.8286734231093629,H+,1
S2Zn,S6Zn,1.893347962415374,0.7751414251880596,H+,1
S4Zn,S5Zn,6.209573314384568,0.9417278353311527,H+,1
S4Zn,S6Zn,6.9155526877014575,0.8721795298291278,H+,1
S3Zn,S7Zn,0.9782545326077341,0.7456334231446623,H+,1
S5Zn,S7Zn,4.98621187816726,0.8252513228090453,H+,1
S6Zn,S7Zn,4.280232504850369,0.9151071336892118,H+,1
S0,S0Zn,-22.015996403261706,1.3197492126368382,Zn,1
S1,S1Zn,-9.8218222097981,1.531278137191204,Zn,1
S2,S2Zn,-14.958744852280297,1.4505968972611225,Zn,1
S3,S3Zn,-8.57709083379877,0.8381287814768184,Zn,1
S4,S4Zn,-16.542926629880427,1.4578028197025479,Zn,1
S5,S5Zn,-12.913982208122682,1.5702426090494352,Zn,1
S6,S6Zn,-18.562669622546583,1.022576884935711,Zn,1
S7,S7Zn,-8.247928479042237,1.1503241490089535,Zn,1
