Dose,Response,Err-Values
5.20E-09,0.002172788,0.0370589
1.04E-08,-0.01119747,0.0258985
2.08E-08,0.060100425,0.0422244
4.17E-08,-0.000986451,0.0729617
8.34E-08,0.015109245,0.1016616
1.67E-07,-0.020845281,0.0463342
3.36E-07,0.024295156,0.0451693
6.78E-07,0.005234382,0.0311946
0.000001379,0.003679207,0.0217979
0.000002857,0.081967031,0.0272141
0.000006154,0.201645943,0.0582025
0.000014483,0.388148135,0.1007247
0.000042845,0.591920302,0.0633801
0.000201771,0.840757983,0.0322903
0.000772614,0.98953809,0.0366725
0.002,0.999224465,0.0943957
